X,Y,Z
437878.3112,86791.2347,0.5000
437876.8877,86791.2624,0.5000
437875.4604,86791.2683,0.5000
437846.7160,86784.8461,0.5000
437830.6950,86783.3699,0.5000
437829.9557,86783.6031,0.5000
437829.2436,86783.8806,0.5000
437832.9073,86782.8601,0.5000
437832.1769,86783.0017,0.5000
437831.4394,86783.1713,0.5000
437828.9048,86784.0391,0.5000
437827.7313,86784.8332,0.5000
437827.4975,86785.0780,0.5000
437827.2931,86785.3437,0.5000
437828.5814,86784.2123,0.5000
437828.2761,86784.4016,0.5000
437827.9918,86784.6082,0.5000
437833.6312,86782.7459,0.5000
437841.3105,86783.1039,0.5000
437839.9378,86782.8389,0.5000
437839.2495,86782.7370,0.5000
437845.3824,86784.3233,0.5000
437844.0352,86783.8537,0.5000
437842.6771,86783.4447,0.5000
437838.5592,86782.6564,0.5000
437835.7690,86782.5608,0.5000
437835.0616,86782.5969,0.5000
437834.3491,86782.6584,0.5000
437837.8666,86782.5978,0.5000
437837.1710,86782.5619,0.5000
437836.4720,86782.5493,0.5000
437825.1753,86871.0474,0.5000
437823.5122,86870.1384,0.5000
437821.8194,86869.2806,0.5000
437830.0081,86874.0094,0.5000
437828.4175,86872.9918,0.5000
437826.8086,86872.0015,0.5000
437820.0987,86868.4797,0.5000
437812.9757,86865.9542,0.5000
437811.1445,86865.5176,0.5000
437809.2972,86865.1559,0.5000
437818.3521,86867.7411,0.5000
437816.5814,86867.0703,0.5000
437814.7887,86866.4729,0.5000
437831.5864,86875.0451,0.5000
437840.1691,86879.3896,0.5000
437839.4737,86879.2325,0.5000
437838.7881,86879.0451,0.5000
437842.2920,86879.6960,0.5000
437841.5804,86879.6196,0.5000
437840.8721,86879.5180,0.5000
437838.1143,86878.8255,0.5000
437835.5618,86877.6213,0.5000
437834.3508,86876.8761,0.5000
437833.1587,86876.0898,0.5000
437837.4545,86878.5722,0.5000
437836.8103,86878.2843,0.5000
437836.1802,86877.9656,0.5000
437807.4360,86864.8592,0.5000
437773.6777,86860.8129,0.5000
437771.8746,86860.2710,0.5000
437770.0840,86859.6786,0.5000
437779.1650,86862.1012,0.5000
437777.3233,86861.7277,0.5000
437775.4939,86861.2995,0.5000
437768.3056,86859.0403,0.5000
437761.3049,86856.1237,0.5000
437759.5807,86855.3272,0.5000
437757.8661,86854.5132,0.5000
437766.5389,86858.3610,0.5000
437764.7836,86857.6453,0.5000
437763.0390,86856.8980,0.5000
437781.0177,86862.4253,0.5000
437799.8951,86864.1196,0.5000
437797.9968,86863.9959,0.5000
437796.0975,86863.8772,0.5000
437805.5630,86864.6173,0.5000
437803.6804,86864.4202,0.5000
437801.7903,86864.2576,0.5000
437794.1986,86863.7569,0.5000
437786.6309,86863.1541,0.5000
437784.7519,86862.9464,0.5000
437782.8805,86862.7052,0.5000
437792.3013,86863.6298,0.5000
437790.4068,86863.4905,0.5000
437788.5163,86863.3337,0.5000
437843.0048,86879.7489,0.5000
437863.3223,86862.1726,0.5000
437863.4561,86862.8705,0.5000
437863.5641,86863.5665,0.5000
437862.5565,86859.3688,0.5000
437862.9828,86860.7725,0.5000
437863.1641,86861.4732,0.5000
437863.6448,86864.2601,0.5000
437863.6676,86867.0049,0.5000
437863.5913,86867.6818,0.5000
437863.4794,86868.3544,0.5000
437863.6969,86864.9512,0.5000
437863.7190,86865.6392,0.5000
437863.7097,86866.3239,0.5000
437862.0546,86857.9645,0.5000
437851.7169,86838.3491,0.5000
437853.1383,86840.7598,0.5000
437854.5407,86843.2243,0.5000
